f1,f2,variables
0.0,3.0,"[0.0, 0.0, 0.0]"
0.0075000000000000015,2.7075,"[0.05, 0.05, 0.05]"
0.030000000000000006,2.43,"[0.1, 0.1, 0.1]"
0.0675,2.1674999999999995,"[0.15, 0.15, 0.15]"
0.12000000000000002,1.9200000000000004,"[0.2, 0.2, 0.2]"
0.1875,1.6875,"[0.25, 0.25, 0.25]"
0.27,1.4699999999999998,"[0.3, 0.3, 0.3]"
0.36749999999999994,1.2675,"[0.35, 0.35, 0.35]"
0.4800000000000001,1.08,"[0.4, 0.4, 0.4]"
0.6075,0.9075000000000002,"[0.45, 0.45, 0.45]"
0.75,0.75,"[0.5, 0.5, 0.5]"
0.9075000000000002,0.6074999999999999,"[0.55, 0.55, 0.55]"
1.08,0.4800000000000001,"[0.6, 0.6, 0.6]"
1.2675,0.36749999999999994,"[0.65, 0.65, 0.65]"
1.4699999999999998,0.2700000000000001,"[0.7, 0.7, 0.7]"
1.6875,0.1875,"[0.75, 0.75, 0.75]"
1.9200000000000004,0.11999999999999994,"[0.8, 0.8, 0.8]"
2.1674999999999995,0.06750000000000002,"[0.85, 0.85, 0.85]"
2.43,0.029999999999999985,"[0.9, 0.9, 0.9]"
2.7075,0.007500000000000014,"[0.95, 0.95, 0.95]"
3.0,0.0,"[1.0, 1.0, 1.0]"
